epsilon,n,memory_used,precision,recall,f1_score,mean_abs_error,mean_rel_error
0.1,5,14,0.2,0.2,0.20000000000000004,99.4,0.7829833181342603
0.1,10,14,0.3333333333333333,0.2,0.25,186.5,0.8188852423724508
0.1,15,14,0.6666666666666666,0.26666666666666666,0.3809523809523809,186.5,0.8188852423724508
0.1,20,14,0.6666666666666666,0.2,0.30769230769230765,186.5,0.8188852423724508
0.1,25,14,0.6666666666666666,0.16,0.25806451612903225,186.5,0.8188852423724508
0.1,30,14,0.6666666666666666,0.13333333333333333,0.2222222222222222,186.5,0.8188852423724508
0.05,5,25,1.0,1.0,1.0,24.0,0.021932354763969496
0.05,10,25,0.7,0.7,0.7,75.4,0.39319768098286745
0.05,15,25,0.6923076923076923,0.6,0.6428571428571429,65.76923076923077,0.521759654049164
0.05,20,25,0.6923076923076923,0.45,0.5454545454545455,65.76923076923077,0.521759654049164
0.05,25,25,0.7692307692307693,0.4,0.5263157894736842,65.76923076923077,0.521759654049164
0.05,30,25,0.7692307692307693,0.3333333333333333,0.4651162790697674,65.76923076923077,0.521759654049164
0.01,5,52,1.0,1.0,1.0,0.2,0.00013869625520110957
0.01,10,52,1.0,1.0,1.0,0.2,0.0004153688888462295
0.01,15,52,1.0,1.0,1.0,0.5333333333333333,0.0023335775524549194
0.01,20,52,0.95,0.95,0.9500000000000001,10.5,0.1020326962876275
0.01,25,52,0.96,0.96,0.96,15.2,0.1749167238323394
0.01,30,52,0.9666666666666667,0.9666666666666667,0.9666666666666667,18.633333333333333,0.25195105864014206
0.005,5,65,1.0,1.0,1.0,0.0,0.0
0.005,10,65,1.0,1.0,1.0,0.0,0.0
0.005,15,65,1.0,1.0,1.0,0.0,0.0
0.005,20,65,1.0,1.0,1.0,0.15,0.001255175983436853
0.005,25,65,0.92,0.92,0.92,2.76,0.038806150925191185
0.005,30,65,0.9666666666666667,0.9666666666666667,0.9666666666666667,6.066666666666666,0.09798493799093645
0.001,5,91,1.0,1.0,1.0,0.0,0.0
0.001,10,91,1.0,1.0,1.0,0.0,0.0
0.001,15,91,1.0,1.0,1.0,0.0,0.0
0.001,20,91,1.0,1.0,1.0,0.0,0.0
0.001,25,91,1.0,1.0,1.0,0.0,0.0
0.001,30,91,1.0,1.0,1.0,0.03333333333333333,0.0005376344086021505
